provincial,tie_line,total,new_energy,hydraulic,non_market,rem_power,TEMP,open_price,is_workday,day_0,day_1,day_2,day_3,day_4,day_5,day_6,month_1,month_2,month_3,month_4,month_5,quarter_1,quarter_2,season_1,season_2,log_price
15616,6418.0,15778.92,1385.39,2502.53,4066.48,18146.08,-8.61,718.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.396929655216146
15690,6402.0,16322.82,1948.31,2483.51,4122.93,17660.18,-7.78,707.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.396929655216146
15726,6374.0,16920.08,2612.06,2417.02,4187.35,17070.92,-6.94,708.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.363028103540465
15815,7652.0,17494.8,3252.64,2351.16,4246.24,17863.2,-6.11,706.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.363028103540465
15770,7602.0,18038.59,3836.64,2310.95,4301.29,17224.41,-5.28,710.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.309918278226516
15660,7602.0,18426.92,4362.57,2173.35,4349.01,16726.08,-4.44,710.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.088793143084641
15732,7602.0,18868.57,4828.02,2149.55,4385.92,16356.43,-3.61,708.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.0380308116733765
15670,11094.0,19182.13,5226.18,2064.95,4411.07,19472.87,-2.78,706.4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.173786103901937
15765,11094.0,19480.36,5557.41,2031.95,4430.61,19269.64,-2.45,709.6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
15680,11094.0,19676.99,5820.84,1965.15,4437.03,18988.01,-2.13,711.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
15616,11094.0,19890.27,6044.02,1955.25,4444.69,18710.73,-1.81,711.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
15370,11094.0,20029.6,6230.05,1908.55,4447.71,18325.4,-1.48,711.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
15257,11094.0,20178.03,6385.78,1901.25,4450.1,18063.97,-1.16,711.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.063785208687608
15041,11094.0,20281.67,6502.92,1887.75,4441.66,17744.33,-0.83,711.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.040254711277414
14816,11094.0,20360.71,6586.16,1883.55,4442.49,17440.29,-0.51,711.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5.991464547107982
14568,11114.0,20373.61,6606.76,1875.85,4437.04,17199.39,-0.19,711.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5.991464547107982
14511,11114.0,20379.87,6615.22,1873.65,4442.1,17136.129999999994,0.14,711.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5.991464547107982
14431,11114.0,20351.8,6590.15,1870.65,4441.0,17084.199999999993,0.46,711.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5.991464547107982
14387,11124.0,20313.17,6550.32,1871.85,4438.71,17088.83,0.79,712.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5.991464547107982
14370,11128.0,20214.7,6448.65,1875.05,4422.27,17174.3,1.11,708.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5.991464547107982
